artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,2020-04-21,88,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,147800,4
Black Eyed Peas,MAMACITA,14wf185UxfNbSy8dwt4r4q,2020-04-10,88,0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,249143,4
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,2019-11-13,88,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,2019-11-07,88,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,4
Anuel AA,Hasta Que Dios Diga,06s3QtMJVXw1AJX3UfvZG1,2020-05-29,88,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,246000,4
Machine Gun Kelly,my ex's best friend (with blackbear),70rFIfYN7lU6iTgUIVP42w,2020-08-07,88,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,138970,4
Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,2020-07-24,88,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,2019-12-13,88,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
Lewis Capaldi,Before You Go,7ce20yLkzuXXLUhzIDoZih,2019-11-19,88,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
Surfaces,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,2019-01-06,88,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4
The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,2020-03-20,88,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4
BENEE,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,2019-11-15,88,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,4
Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,2018-12-10,87,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
JP Saxe,If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,2019-10-17,87,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4
Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,2017-06-23,87,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4
Kane Brown,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,2020-07-10,87,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
Pop Smoke,Dior,79s5XnCN4TJKTVMSmOx8Ep,2019-07-26,87,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4
Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,2018-10-05,87,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,2020-03-13,87,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
J Balvin,Azul,2lCkncy6bIB0LTMT7kvrD1,2020-03-19,87,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018,205933,4
