artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,2020-07-24,88,0.456,0.263,0,-10.63,1,0.0332,0.806,0.0,0.0749,0.111,129.86,255894,4
Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,2019-12-13,88,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,88,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,2020-04-03,88,0.904,0.252,5,-17.54,0,0.11,0.294,0.0,0.104,0.227,117.994,167184,4
Regard,Secrets,66W1rVTnEv86dIkFhoiElg,2020-04-24,88,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,4
Nea,Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,2020-01-10,88,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120.03,186878,4
Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,2019-03-08,88,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,2020-07-24,88,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4
Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,2020-05-01,88,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4
Curtis Waters,Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,2020-05-19,88,0.885,0.685,11,-6.429,0,0.0627,0.33,0.0,0.148,0.937,99.954,144000,4
Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0dZpw3h6KZhcHec61qwevZ,2020-05-15,88,0.824,0.854,8,-5.312,1,0.177,0.016,4.95e-05,0.117,0.896,95.114,210329,4
J Balvin,Azul,2lCkncy6bIB0LTMT7kvrD1,2020-03-19,88,0.843,0.836,11,-2.474,0,0.0695,0.0816,0.00138,0.0532,0.65,94.018,205933,4
Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,2020-03-13,88,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,2020-01-23,88,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4
Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,2020-03-27,88,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4
S1mba,Rover (feat. DTG),4slSrbTK1sNK4I1mDYEthf,2020-03-04,88,0.613,0.624,11,-6.66,0,0.206,0.496,0.0,0.283,0.804,62.948,167917,5
Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-10,88,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
Jawsh 685,Savage Love (Laxed - Siren Beat),5T490vvoFNU6psep0NPmxs,2020-06-09,88,0.795,0.48,3,-8.556,1,0.0688,0.243,0.0,0.271,0.723,149.919,171375,4
KAROL G,"Ay, DiOs Mío!",7x4ASXYEKfQBCewcZhK776,2020-07-10,87,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,189653,4
Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018-04-27,87,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,2019-06-21,87,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
Peach Tree Rascals,Mariposa,4ja2gzrNh9VNigzoXfmbwD,2019-08-28,87,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,210000,4
Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,2020-04-17,87,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,169266,4
Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-03-29,87,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
Dua Lipa,Break My Heart,1raaNykBg1bDnWENUiglUA,2020-03-25,87,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012,221820,4
MEDUZA,Lose Control,7CHi4DtfK4heMlQaudCuHK,2019-10-11,87,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387,4
Sech,Relación,3ZG8N7aWw2meb6UrI5ZmnZ,2020-05-21,87,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.148,0.767,172.094,184255,4
Lady Gaga,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,2020-05-29,87,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
Justin Bieber,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,2020-02-14,87,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,212867,4
Kygo,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,2020-05-15,87,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,199549,4
Jhay Cortez,CÓMO SE SIENTE - Remix,2tFwfmceQa1Y6nRPhYbEtC,2020-05-09,87,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4
Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,87,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,2020-07-24,87,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,208907,4
blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,2019-08-23,87,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,2019-03-22,87,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
